recency_candidate_id,model_id,season,season_label,games,accuracy,log_loss,brier_score,recency_selector_mode,recency_mode,recency_season_half_life,recency_game_half_life,recency_min_weight,recency_normalize_mean_one,recency_base_mode,recency_base_season_half_life,recency_base_game_half_life,recency_base_min_weight,recency_base_normalize_mean_one,nonlinear_model_backend,nonlinear_model_style
single,blend_top2_validated__logistic_engineered__nonlinear_tree,20252026,2025-2026,180,0.533333,0.676503,0.242348,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_top2_validated__nonlinear_tree__weighted_calibrated,20242025,2024-2025,180,0.533333,0.685336,0.246208,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_top2_validated__weighted_calibrated__nonlinear_tree,20232024,2023-2024,180,0.583333,0.683194,0.244982,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_top3_fixed_50_30_20__logistic_engineered__nonlinear_tree__weighted_calibrated,20252026,2025-2026,180,0.55,0.678148,0.242887,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_top3_fixed_50_30_20__nonlinear_tree__weighted_calibrated__logistic_engineered,20242025,2024-2025,180,0.533333,0.674262,0.240803,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_top3_fixed_50_30_20__weighted_calibrated__nonlinear_tree__elo_form_tuned,20232024,2023-2024,180,0.561111,0.682515,0.244611,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_top3_validated__logistic_engineered__nonlinear_tree__weighted_calibrated,20252026,2025-2026,180,0.55,0.678148,0.242887,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_top3_validated__nonlinear_tree__weighted_calibrated__logistic_engineered,20242025,2024-2025,180,0.55,0.667993,0.237844,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,blend_top3_validated__weighted_calibrated__nonlinear_tree__elo_form_tuned,20232024,2023-2024,180,0.55,0.681961,0.244339,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,elo_form_tuned,20232024,2023-2024,180,0.561111,0.692801,0.248856,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,elo_form_tuned,20242025,2024-2025,180,0.544444,0.696826,0.251705,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,elo_form_tuned,20252026,2025-2026,180,0.45,0.727245,0.265592,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,logistic_engineered,20232024,2023-2024,180,0.533333,0.687214,0.247199,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,logistic_engineered,20242025,2024-2025,180,0.622222,0.646062,0.227938,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,logistic_engineered,20252026,2025-2026,180,0.533333,0.679408,0.244302,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,nonlinear_tree,20232024,2023-2024,180,0.555556,0.685679,0.246257,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,nonlinear_tree,20242025,2024-2025,180,0.544444,0.686703,0.246789,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,nonlinear_tree,20252026,2025-2026,180,0.538889,0.688823,0.24786,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,weighted_calibrated,20232024,2023-2024,180,0.588889,0.686466,0.246434,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,weighted_calibrated,20242025,2024-2025,180,0.505556,0.687724,0.247585,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,weighted_calibrated,20252026,2025-2026,180,0.483333,0.695782,0.25134,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,weighted_calibrated_isotonic,20232024,2023-2024,180,0.555556,0.817019,0.249298,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,weighted_calibrated_isotonic,20242025,2024-2025,180,0.516667,0.766885,0.255699,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,weighted_calibrated_isotonic,20252026,2025-2026,180,0.544444,0.755451,0.249544,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,weighted_calibrated_platt,20232024,2023-2024,180,0.588889,0.686466,0.246434,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,weighted_calibrated_platt,20242025,2024-2025,180,0.505556,0.687724,0.247585,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
single,weighted_calibrated_platt,20252026,2025-2026,180,0.483333,0.695782,0.25134,static,none,1.5,800.0,0.2,True,none,1.5,800.0,0.2,True,deterministic_tree_ensemble_fallback,bagged_cart_trees
